suburb,state,postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,dob,age,gender,weekends,profitable
Morgan,SA,5320,7,Renewals,36,0,36,28/04/1952,63,0,4,0
WAIKERIE,SA,5330,8,Renewals,131,69,200,na,,1,4,1
WAIKERIE,SA,5330,8,Acq,142.35,0,142.35,1/01/1948,67,0,4,1
Waikerie,SA,5330,7,Renewals,72,48,120,27/02/1949,66,1,4,1
Waikerie,SA,5330,7,Acq,100,0,100,1/01/1931,84,1,4,1
Waikerie,SA,5330,7,Renewals,90.4,0,90.4,1/01/1974,41,1,4,1
WAIKERIE,SA,5330,7,Acq,62,0,62,na,,0,4,0
WAIKERIE,SA,5330,8,Acq,61.1,0,61.1,7/02/1942,73,1,4,0
WAIKERIE,SA,5330,8,Renewals,17,43,60,na,,1,4,0
WAIKERIE,SA,5330,8,Renewals,50,0,50,21/08/1950,65,1,4,0
Waikerie,SA,5330,7,Renewals,38,10,48,27/03/1946,69,1,4,0
WAIKERIE,SA,5330,7,Renewals,40,0,40,14/02/1945,70,1,4,0
WAIKERIE,SA,5330,8,Renewals,36,0,36,na,,1,4,0
Waikerie,SA,5330,7,Acq,30,0,30,20/09/1939,76,0,4,0
Waikerie,SA,5330,7,Renewals,24,0,24,9/08/1959,56,1,4,0
WAIKERIE,SA,5330,2,Acq,0,20,20,1/01/1936,79,1,4,0
Loxton,SA,5333,9,Acq,0,200,200,na,,0,4,1
LOXTON,SA,5333,8,Renewals,151,0,151,16/08/1920,95,1,4,1
Loxton,SA,5333,7,Renewals,141,0,141,14/09/1932,83,0,4,1
LOXTON,SA,5333,7,Acq,132,0,132,21/05/1955,60,1,4,1
LOXTON,SA,5333,7,Renewals,119.05,0,119.05,13/06/1933,82,0,4,1
LOXTON,SA,5333,7,Renewals,116,0,116,4/06/1925,90,0,4,1
Loxton North,SA,5333,8,Acq,105.15,0,105.15,11/02/1942,73,0,4,1
LOXTON,SA,5333,7,Acq,101.05,0,101.05,30/12/1946,69,1,4,1
LOXTON,SA,5333,7,Renewals,94,0,94,na,,0,4,1
Loxton,SA,5333,7,Acq,82,0,82,25/05/1973,42,0,4,1
Loxton,SA,5333,10,Renewals,77,0,77,6/05/1946,69,0,4,1
Loxton,SA,5333,7,Renewals,76.1,0,76.1,na,,1,4,1
Loxton,SA,5333,8,Acq,76,0,76,11/10/1946,69,1,4,1
LOXTON,SA,5333,7,Renewals,70,0,70,23/01/1955,60,1,4,0
Loxton North,SA,5333,7,Acq,59,10,69,4/12/1949,66,1,4,0
LOXTON,SA,5333,8,Renewals,68,0,68,27/01/1937,78,1,4,0
LOXTON,SA,5333,7,Renewals,61,0,61,na,,1,4,0
LOXTON,SA,5333,7,Renewals,50,10,60,na,,1,4,0
LOXTON,SA,5333,7,Renewals,55,0,55,1/04/1941,74,1,4,0
Loxton,SA,5333,7,Acq,50,0,50,na,,1,4,0
LOXTON,SA,5333,7,Acq,49.05,0,49.05,1/01/1969,46,1,4,0
LOXTON,SA,5333,7,Acq,49,0,49,1/01/1949,66,1,4,0
LOXTON,SA,5333,9,Renewals,48.7,0,48.7,24/11/1948,67,0,4,0
Loxton,SA,5333,7,Acq,36,10,46,15/11/1931,84,1,4,0
Loxton,SA,5333,7,Acq,36.7,0,36.7,1/01/1900,,1,4,0
Loxton,SA,5333,2,Acq,36,0,36,na,,1,4,0
LOXTON NORTH,SA,5333,7,Acq,30,0,30,na,,0,4,0
Loxton,SA,5333,8,Acq,30,0,30,6/01/1953,62,0,4,0
Loxton North,SA,5333,7,Acq,0,25,25,14/07/1954,61,1,4,0
PARINGA,SA,5340,1,Acq,210,0,210,14/08/1957,58,0,4,1
Paringa,SA,5340,7,Renewals,72,0,72,7/08/1928,87,0,4,0
Paringa,SA,5340,7,Acq,37.05,0,37.05,na,,1,4,0
PARINGA,SA,5340,7,Renewals,20,0,20,na,,1,4,0
Renmark,SA,5341,7,Acq,194,0,194,na,,0,4,1
Renmark,SA,5341,7,Acq,142,0,142,1/01/1937,78,1,4,1
RENMARK,SA,5341,7,Acq,125,0,125,na,,0,4,1
Renmark,SA,5341,7,Acq,125,0,125,na,,1,4,1
RENMARK NORTH,SA,5341,7,Acq,123.05,0,123.05,13/07/1959,56,1,4,1
RENMARK,SA,5341,7,Renewals,120,0,120,25/03/1947,68,1,4,1
RENMARK,SA,5341,7,Acq,116,0,116,na,,0,4,1
RENMARK,SA,5341,7,Acq,113,0,113,na,,1,4,1
Renmark,SA,5341,7,Acq,102,0,102,1/01/1947,68,1,4,1
RENMARK,SA,5341,7,Renewals,100,0,100,7/06/1935,80,1,4,1
Renmark,SA,5341,1,Acq,99,0,99,na,,0,4,1
RENMARK,SA,5341,8,Renewals,94,0,94,13/06/1934,81,0,4,1
Renmark,SA,5341,7,Acq,89,0,89,na,,1,4,1
Renmark,SA,5341,7,Renewals,75,0,75,20/09/1941,74,0,4,0
RENMARK,SA,5341,7,Renewals,70,0,70,30/07/1947,68,1,4,0
RENMARK,SA,5341,7,Acq,50,0,50,na,,0,4,0
RENMARK SOUTH,SA,5341,7,Acq,0,50,50,1/01/1930,85,0,4,0
Renmark,SA,5341,7,Renewals,48.1,0,48.1,7/11/1946,69,0,4,0
Renmark,SA,5341,7,Acq,34.15,0,34.15,18/06/1948,67,1,4,0
RENMARK,SA,5341,7,Acq,32,0,32,na,,1,4,0
RENMARK,SA,5341,7,Renewals,0,20,20,na,,0,4,0
Renmark,SA,5341,7,Acq,18,0,18,5/08/1946,69,0,4,0
RENMARK,SA,5341,7,Renewals,18,0,18,21/07/1943,72,0,4,0
BERRI,SA,5343,9,Renewals,158.3,0,158.3,na,,0,4,1
BERRI,SA,5343,8,Renewals,153,0,153,19/07/1947,68,1,4,1
Berri,SA,5343,7,Acq,100,0,100,na,,0,4,1
BERRI,SA,5343,7,Acq,100,0,100,14/10/1936,79,1,4,1
BERRI,SA,5343,7,Renewals,82,0,82,1/12/1957,58,1,4,1
Berri,SA,5343,7,Acq,48,0,48,na,,1,4,0
Berri,SA,5343,9,Acq,46,0,46,na,,1,4,0
Berri,SA,5343,7,Renewals,40,0,40,na,,1,4,0
BERRI,SA,5343,7,Renewals,37,0,37,na,,0,4,0
BERRI,SA,5343,7,Renewals,35,0,35,na,,0,4,0
Berri,SA,5343,8,Acq,27,5,32,na,,1,4,0
Berri,SA,5343,7,Acq,30,0,30,23/05/1928,87,1,4,0
BERRI,SA,5343,7,Renewals,25,0,25,na,,1,4,0
Barmera,SA,5345,8,Renewals,200,0,200,na,,0,4,1
BARMERA,SA,5345,7,Renewals,103,0,103,10/01/1932,83,1,4,1
Barmera,SA,5345,7,Acq,82.3,0,82.3,28/01/1939,76,1,4,1
Barmera,SA,5345,7,Renewals,80,0,80,14/02/1962,53,1,4,1
Barmera,SA,5345,7,Acq,73,0,73,1/01/1939,76,1,4,0
Barmera,SA,5345,1,Acq,65,0,65,1/01/1950,65,1,4,0
Cobdogla,SA,5346,9,Renewals,126,0,126,14/06/1964,51,1,4,1
WILLIAMSTOWN,SA,5351,8,Renewals,198.5,0,198.5,5/06/1947,68,0,4,1
LYNDOCH,SA,5351,11,Renewals,173.1,0,173.1,14/12/1941,74,1,4,1
Lyndoch,SA,5351,7,Acq,116.4,0,116.4,na,,0,4,1
Williamstown,SA,5351,7,Renewals,97.2,0,97.2,5/11/1957,58,1,4,1
Williamstown,SA,5351,7,Acq,97,0,97,1/01/1952,63,1,4,1
LYNDOCH,SA,5351,7,Acq,90,0,90,1/06/1930,85,1,4,1
Williamstown,SA,5351,8,Acq,84.7,0,84.7,1/01/1935,80,0,4,1
Lyndoch,SA,5351,1,Renewals,81,0,81,29/04/1946,69,0,4,1
LYNDOCH,SA,5351,7,Renewals,69,0,69,1/01/1949,66,0,4,0
LYNDOCH,SA,5351,7,Renewals,51.95,0,51.95,1/01/1940,75,0,4,0
LYNDOCH,SA,5351,7,Renewals,50,0,50,na,,1,4,0
Williamstown,SA,5351,7,Acq,37.5,0,37.5,10/11/1947,68,1,4,0
Lyndoch,SA,5351,8,Acq,25,0,25,na,,0,4,0
Lyndoch,SA,5351,8,Acq,23,0,23,na,,1,4,0
LYNDOCH,SA,5351,8,Acq,21.8,0,21.8,1/01/1963,52,1,4,0
Tanunda,SA,5352,7,Renewals,208,0,208,5/02/1945,70,0,4,1
Tanunda,SA,5352,7,Renewals,202.65,0,202.65,31/03/1932,83,0,4,1
TANUNDA,SA,5352,7,Renewals,197.15,0,197.15,5/03/1949,66,1,4,1
TANUNDA,SA,5352,8,Renewals,196.5,0,196.5,25/11/1947,68,1,4,1
TANUNDA,SA,5352,8,Acq,79,71,150,22/02/1934,81,0,4,1
Tanunda,SA,5352,8,Renewals,132,0,132,na,,1,4,1
TANUNDA,SA,5352,7,Acq,105,25,130,26/08/1953,62,1,4,1
TANUNDA,SA,5352,9,Renewals,121,0,121,na,,1,4,1
Tanunda,SA,5352,7,Renewals,110,0,110,na,,1,4,1
Tanunda,SA,5352,7,Renewals,95.6,0,95.6,11/08/1948,67,0,4,1
Tanunda,SA,5352,7,Acq,93,0,93,24/02/1936,79,0,4,1
TANUNDA,SA,5352,8,Acq,91,0,91,na,,0,4,1
TANUNDA,SA,5352,8,Renewals,88,0,88,2/09/1949,66,0,4,1
Tanunda,SA,5352,7,Acq,85,0,85,na,,1,4,1
Tanunda,SA,5352,8,Renewals,82,0,82,26/03/1961,54,1,4,1
Tanunda,SA,5352,8,Renewals,80.5,0,80.5,24/11/1947,68,0,4,1
TANUNDA,SA,5352,7,Renewals,76,0,76,1/01/1964,51,0,4,1
Tanunda,SA,5352,7,Acq,75.4,0,75.4,na,,1,4,1
Tanunda,SA,5352,7,Acq,62,0,62,21/07/1958,57,1,4,0
Tanunda,SA,5352,7,Acq,58,0,58,na,,1,4,0
TANUNDA,SA,5352,7,Renewals,55,0,55,na,,1,4,0
TANUNDA,SA,5352,9,Acq,52,0,52,24/04/1934,81,1,4,0
Tanunda,SA,5352,7,Renewals,40,10,50,na,,1,4,0
TANUNDA,SA,5352,7,Renewals,0,50,50,na,,0,4,0
Tanunda,SA,5352,7,Acq,30,0,30,na,,1,4,0
TANUNDA,SA,5352,7,Renewals,21.8,0,21.8,11/05/1965,50,1,4,0
TANUNDA,SA,5352,7,Acq,16.9,0,16.9,na,,0,4,0
Tanunda,SA,5352,7,Acq,10,0,10,21/07/1958,57,1,4,0
Angaston,SA,5353,7,Acq,193.75,0,193.75,19/08/1943,72,0,4,1
ANGASTON,SA,5353,7,Acq,92,0,92,23/05/1962,53,1,4,1
ANGASTON,SA,5353,8,Renewals,90.35,0,90.35,20/05/1958,57,1,4,1
ANGASTON,SA,5353,7,Renewals,85,0,85,na,,1,4,1
Angaston,SA,5353,7,Acq,80,0,80,18/01/1947,68,1,4,1
Angaston,SA,5353,7,Acq,65,0,65,21/11/1943,72,0,4,0
ANGASTON,SA,5353,7,Acq,62.1,0,62.1,27/09/1952,63,1,4,0
ANGASTON,SA,5353,7,Acq,59,0,59,1/01/1946,69,0,4,0
Angaston,SA,5353,7,Acq,55,0,55,8/11/1961,54,0,4,0
Angaston,SA,5353,7,Acq,30,20,50,7/08/1962,53,0,4,0
Angaston,SA,5353,7,Acq,33,0,33,9/08/1959,56,1,4,0
ANGASTON,SA,5353,7,Renewals,25,0,25,7/01/1957,58,1,4,0
ANGASTON,SA,5353,2,Acq,0,20,20,1/01/1947,68,1,4,0
ANGASTON,SA,5353,7,Renewals,20,0,20,18/09/1955,60,1,4,0
Swan Reach,SA,5354,7,Acq,15,0,15,16/03/1958,57,1,4,0
NURIOOTPA,SA,5355,8,Renewals,160,0,160,27/08/1947,68,1,4,1
NURIOOTPA,SA,5355,7,Renewals,130.9,0,130.9,27/07/1957,58,1,4,1
NURIOOTPA,SA,5355,7,Renewals,127,0,127,13/08/1953,62,0,4,1
NURIOOTPA,SA,5355,7,Renewals,112,0,112,1/06/1949,66,1,4,1
Nuriootpa,SA,5355,8,Acq,108,0,108,na,,0,4,1
Nuriootpa,SA,5355,7,Renewals,102,0,102,7/03/1929,86,1,4,1
NURIOOTPA,SA,5355,8,Renewals,75,0,75,14/06/1953,62,1,4,0
Nuriootpa,SA,5355,7,Acq,72.5,0,72.5,3/12/1934,81,1,4,0
Nuriootpa,SA,5355,7,Acq,72,0,72,na,,1,4,0
Nuriootpa,SA,5355,8,Acq,69,0,69,27/11/1986,29,1,4,0
Nuriootpa,SA,5355,7,Acq,68,0,68,na,,1,4,0
Nuriootpa,SA,5355,8,Renewals,66,0,66,na,,0,4,0
NURIOOTPA,SA,5355,7,Acq,41,20,61,na,,1,4,0
Nuriootpa,SA,5355,7,Renewals,60,0,60,14/11/1943,72,0,4,0
NURIOOTPA,SA,5355,9,Acq,58,0,58,15/07/1944,71,0,4,0
NURIOOTPA,SA,5355,7,Acq,57,0,57,na,,1,4,0
NURIOOTPA,SA,5355,7,Acq,57,0,57,2/04/1955,60,1,4,0
NURIOOTPA,SA,5355,7,Renewals,53.65,0,53.65,1/01/1944,71,0,4,0
NURIOOTPA,SA,5355,7,Renewals,50,0,50,na,,0,4,0
Nuriootpa,SA,5355,7,Renewals,45,0,45,na,,1,4,0
Stockwell,SA,5355,8,Renewals,40,0,40,na,,1,4,0
NURIOOTPA,SA,5355,7,Renewals,40,0,40,1/10/1976,39,1,4,0
Nuriootpa,SA,5355,7,Acq,35,0,35,na,,1,4,0
NURIOOTPA,SA,5355,7,Acq,33.25,0,33.25,na,,0,4,0
Nuriootpa,SA,5355,7,Acq,33,0,33,28/01/1947,68,0,4,0
Nuriootpa,SA,5355,7,Acq,32,0,32,1/01/1981,34,1,4,0
Nuriootpa,SA,5355,8,Acq,22,0,22,na,,1,4,0
Nuriootpa,SA,5355,7,Acq,22,0,22,na,,0,4,0
NURIOOTPA,SA,5355,8,Renewals,21,0,21,18/06/1938,77,0,4,0
Nuriootpa,SA,5355,9,Acq,20,0,20,28/08/1951,64,1,4,0
Nuriootpa,SA,5355,1,Acq,20,0,20,1/01/1937,78,1,4,0
NURIOOTPA,SA,5355,7,Acq,15.3,0,15.3,na,,1,4,0
GREENOCK,SA,5360,7,Acq,132.95,0,132.95,1/01/1946,69,0,4,1
GREENOCK,SA,5360,7,Acq,90,0,90,1/01/1946,69,1,4,1
Greenock,SA,5360,7,Acq,55.8,0,55.8,1/08/1957,58,1,4,0
Greenock,SA,5360,7,Renewals,54,0,54,19/02/1949,66,1,4,0
Greenock,SA,5360,7,Acq,0,50,50,na,,0,4,0
ROSEWORTHY,SA,5371,7,Renewals,82,0,82,6/01/1954,61,1,4,1
Freeling,SA,5372,8,Acq,120,0,120,17/04/1963,52,0,4,1
Freeling,SA,5372,7,Acq,101.05,0,101.05,22/05/1952,63,1,4,1
Freeling,SA,5372,7,Renewals,54,0,54,24/06/1950,65,0,4,0
FREELING,SA,5372,7,Acq,49.6,0,49.6,na,,1,4,0
FREELING,SA,5372,7,Renewals,31,0,31,na,,1,4,0
Kapunda,SA,5373,7,Renewals,103.25,0,103.25,11/09/1943,72,1,4,1
Kapunda,SA,5373,8,Acq,88,0,88,1/01/1954,61,1,4,1
Kapunda,SA,5373,8,Acq,86,0,86,na,,1,4,1
KAPUNDA,SA,5373,7,Renewals,69.5,0,69.5,6/12/1969,46,1,4,0
Kapunda,SA,5373,7,Acq,66,0,66,1/01/1900,,0,4,0
Kapunda,SA,5373,7,Acq,0,50,50,na,,0,4,0
KAPUNDA,SA,5373,8,Renewals,34,10,44,na,,1,4,0
Kapunda,SA,5373,7,Renewals,39,0,39,na,,1,4,0
KAPUNDA,SA,5373,7,Acq,34.6,0,34.6,11/06/1972,43,1,4,0
Kapunda,SA,5373,7,Renewals,30,0,30,13/06/1956,59,1,4,0
Kapunda,SA,5373,7,Renewals,10,20,30,na,,1,4,0
EUDUNDA,SA,5374,8,Acq,0,100,100,na,,0,4,1
Eudunda,SA,5374,7,Acq,76,0,76,1/01/1951,64,1,4,1
EUDUNDA,SA,5374,7,Renewals,53,0,53,31/01/1973,42,1,4,0
HAMLEY BRIDGE,SA,5401,7,Renewals,93,0,93,na,,1,4,1
HAMLEY BRIDGE,SA,5401,8,Acq,50,0,50,na,,1,4,0
HAMLEY BRIDGE,SA,5401,8,Renewals,0,20,20,na,,0,4,0
HAMLEY BRIDGE,SA,5401,7,Renewals,19,0,19,1/01/1950,65,1,4,0
RIVERTON,SA,5412,7,Renewals,150,0,150,1/01/1941,74,1,4,1
RIVERTON,SA,5412,7,Renewals,76,0,76,na,,1,4,1
Riverton,SA,5412,7,Renewals,72,0,72,na,,1,4,0
Riverton,SA,5412,7,Acq,65,0,65,1/01/1942,73,0,4,0
RIVERTON,SA,5412,7,Acq,61,0,61,13/10/1940,75,1,4,0
RIVERTON,SA,5412,7,Acq,50,0,50,31/03/1957,58,1,4,0
RIVERTON,SA,5412,7,Acq,40,0,40,na,,1,4,0
Saddleworth,SA,5413,9,Renewals,41.1,10,51.1,11/03/1963,52,1,4,0
Saddleworth,SA,5413,7,Renewals,30,10,40,18/11/1943,72,0,4,0
SADDLEWORTH,SA,5413,7,Renewals,40,0,40,na,,0,4,0
BURRA,SA,5417,9,Renewals,202,0,202,7/01/1944,71,1,4,1
Burra,SA,5417,7,Acq,125,0,125,21/05/1945,70,1,4,1
BALDINA,SA,5417,7,Renewals,87.5,0,87.5,na,,0,4,1
Burra,SA,5417,9,Acq,72,0,72,21/06/1940,75,0,4,0
BURRA,SA,5417,7,Renewals,60,0,60,na,,1,4,0
PETERBOROUGH,SA,5422,8,Renewals,338.55,0,338.55,20/01/1949,66,1,4,1
Peterborough,SA,5422,7,Acq,163,0,163,na,,1,4,1
PETERBOROUGH,SA,5422,8,Renewals,75,0,75,21/11/1945,70,1,4,0
PETERBOROUGH,SA,5422,7,Acq,0,50,50,1/01/1900,,1,4,0
Peterborough,SA,5422,7,Renewals,50,0,50,4/10/1950,65,1,4,0
PETERBOROUGH,SA,5422,7,Renewals,47,0,47,na,,1,4,0
PETERBOROUGH,SA,5422,7,Acq,0,40,40,19/06/1944,71,1,4,0
Peterborough,SA,5422,7,Renewals,35,0,35,24/02/1953,62,1,4,0
PETERBOROUGH,SA,5422,7,Renewals,28,0,28,22/02/1949,66,1,4,0
ORROROO,SA,5431,7,Renewals,216.5,0,216.5,15/07/1932,83,1,4,1
ORROROO,SA,5431,7,Renewals,124,0,124,21/11/1983,32,1,4,1
Orroroo,SA,5431,8,Acq,95,0,95,1/01/1944,71,1,4,1
Orroroo,SA,5431,8,Acq,60.7,0,60.7,6/01/1952,63,1,4,0
Orroroo,SA,5431,7,Renewals,0,25,25,na,,0,4,0
ORROROO,SA,5431,7,Acq,23,0,23,28/06/1951,64,0,4,0
QUORN,SA,5433,8,Renewals,209,0,209,3/02/1944,71,1,4,1
QUORN,SA,5433,7,Renewals,85,0,85,na,,1,4,1
QUORN,SA,5433,8,Renewals,71.75,0,71.75,16/05/1963,52,0,4,0
Quorn,SA,5433,7,Renewals,0,50,50,na,,0,4,0
Quorn,SA,5433,7,Renewals,29.4,0,29.4,na,,1,4,0
BRUCE,SA,5433,13,Acq,20,0,20,21/06/1956,59,1,4,0
QUORN,SA,5433,1,Acq,10.5,0,10.5,7/09/1939,76,1,4,0
HAWKER,SA,5434,8,Acq,57.1,0,57.1,na,,1,4,0
Hawker,SA,5434,7,Acq,0,25,25,14/07/1951,64,0,4,0
AUBURN,SA,5451,8,Acq,129.2,0,129.2,7/07/1960,55,1,4,1
Auburn,SA,5451,9,Renewals,65,0,65,29/10/1960,55,1,4,0
Auburn,SA,5451,9,Renewals,35,0,35,na,,1,4,0
Clare,SA,5453,9,Renewals,136.1,0,136.1,20/03/1945,70,1,4,1
Clare,SA,5453,7,Acq,120,0,120,4/12/1946,69,0,4,1
CLARE,SA,5453,7,Acq,116,0,116,5/09/1944,71,1,4,1
CLARE,SA,5453,8,Renewals,103,0,103,na,,0,4,1
CLARE,SA,5453,1,Renewals,102,0,102,22/06/1930,85,0,4,1
Clare,SA,5453,7,Acq,90.5,0,90.5,9/03/1926,89,1,4,1
CLARE,SA,5453,7,Acq,85,0,85,3/10/1954,61,1,4,1
CLARE,SA,5453,7,Acq,85,0,85,1/01/1977,38,1,4,1
Clare,SA,5453,7,Renewals,82,0,82,1/01/1936,79,0,4,1
Clare,SA,5453,8,Acq,72,0,72,9/10/1970,45,1,4,0
CLARE,SA,5453,7,Renewals,0,50,50,28/10/1957,58,1,4,0
Clare,SA,5453,7,Acq,32,0,32,17/05/1963,52,1,4,0
Clare,SA,5453,7,Renewals,0,20,20,1/07/1968,47,1,4,0
Clare,SA,5453,7,Renewals,20,0,20,31/07/1945,70,1,4,0
BALAKLAVA,SA,5461,7,Renewals,437.4,0,437.4,26/11/1974,41,1,4,1
BALAKLAVA,SA,5461,9,Renewals,194.55,0,194.55,28/03/1946,69,1,4,1
Balaklava,SA,5461,7,Renewals,193,0,193,3/10/1931,84,1,4,1
Balaklava,SA,5461,7,Acq,100,0,100,1/01/1996,19,0,4,1
BALAKLAVA,SA,5461,7,Renewals,100,0,100,26/07/1928,87,0,4,1
BALAKLAVA,SA,5461,7,Renewals,82,0,82,27/07/1945,70,1,4,1
Balaklava,SA,5461,8,Renewals,80,0,80,26/07/1946,69,1,4,1
Balaklava,SA,5461,7,Acq,75,0,75,1/01/1941,74,1,4,0
Balaklava,SA,5461,8,Acq,50,10,60,1/01/1900,,0,4,0
BALAKLAVA,SA,5461,7,Acq,60,0,60,2/02/1942,73,1,4,0
Balaklava,SA,5461,7,Renewals,54,0,54,na,,1,4,0
Balaklava,SA,5461,8,Renewals,53,0,53,3/09/1949,66,1,4,0
Balaklava,SA,5461,7,Acq,52,0,52,na,,0,4,0
BALAKLAVA,SA,5461,8,Renewals,47,5,52,22/01/1952,63,1,4,0
Balaklava,SA,5461,7,Acq,0,50,50,na,,0,4,0
Balaklava,SA,5461,7,Acq,15,0,15,8/09/1977,38,1,4,0
Gladstone,SA,5473,7,Renewals,100,0,100,20/04/1963,52,0,4,1
Laura,SA,5480,7,Acq,70,0,70,na,,1,4,0
Laura,SA,5480,7,Acq,50,0,50,na,,0,4,0
LAURA,SA,5480,8,Renewals,50,0,50,na,,1,4,0
Laura,SA,5480,8,Acq,33.55,3,36.55,na,,1,4,0
Wilmington,SA,5485,7,Renewals,30,0,30,na,,0,4,0
Jamestown,SA,5491,7,Renewals,120,0,120,na,,1,4,1
JAMESTOWN,SA,5491,7,Acq,101,0,101,28/10/1951,64,0,4,1
Jamestown,SA,5491,7,Acq,95,0,95,na,,1,4,1
JAMESTOWN,SA,5491,7,Renewals,78,0,78,18/05/1959,56,1,4,1
Jamestown,SA,5491,8,Renewals,75,0,75,13/10/1948,67,0,4,0
JAMESTOWN,SA,5491,7,Renewals,73.1,0,73.1,na,,1,4,0
JAMESTOWN,SA,5491,10,Acq,73,0,73,1/01/1975,40,1,4,0
Jamestown,SA,5491,7,Acq,57.15,0,57.15,27/05/1935,80,0,4,0
JAMESTOWN,SA,5491,8,Acq,56,0,56,1/01/1900,,1,4,0
Jamestown,SA,5491,7,Acq,45,0,45,na,,1,4,0
Jamestown,SA,5491,8,Renewals,42,0,42,1/05/1956,59,1,4,0
JAMESTOWN,SA,5491,8,Acq,40,0,40,30/07/1965,50,1,4,0
PORT GERMEIN,SA,5495,7,Acq,85,0,85,7/04/1960,55,1,4,1
Port Germein,SA,5495,8,Acq,25,0,25,26/06/1938,77,1,4,0
Lewiston,SA,5501,7,Acq,100,0,100,na,,1,4,1
Two Wells,SA,5501,8,Acq,93,0,93,3/02/1951,64,1,4,1
TWO WELLS,SA,5501,7,Acq,86,0,86,na,,1,4,1
TWO WELLS,SA,5501,7,Renewals,65,0,65,na,,0,4,0
LEWISTON,SA,5501,7,Renewals,60,0,60,na,,1,4,0
Two Wells,SA,5501,8,Acq,7,50,57,na,,0,4,0
LEWISTON,SA,5501,7,Acq,57,0,57,10/05/1939,76,0,4,0
Lewiston,SA,5501,7,Acq,52,0,52,1/01/1970,45,0,4,0
TWO WELLS,SA,5501,7,Renewals,37.65,0,37.65,22/09/1955,60,1,4,0
Lewiston,SA,5501,7,Acq,31,0,31,19/04/1956,59,0,4,0
LEWISTON,SA,5501,7,Acq,30,0,30,11/06/1959,56,0,4,0
LEWISTON,SA,5501,7,Acq,25,0,25,8/12/1956,59,1,4,0
LEWISTON,SA,5501,7,Renewals,0,20,20,na,,1,4,0
MALLALA,SA,5502,8,Renewals,240,0,240,na,,0,4,1
Mallala,SA,5502,7,Acq,200,0,200,na,,1,4,1
Mallala,SA,5502,7,Acq,136,0,136,na,,1,4,1
MALLALA,SA,5502,7,Acq,80,0,80,14/03/1935,80,1,4,1
MALLALA,SA,5502,8,Renewals,55.5,0,55.5,22/08/1933,82,1,4,0
Mallala,SA,5502,7,Acq,50,0,50,1/01/1954,61,1,4,0
SNOWTOWN,SA,5520,7,Renewals,125,0,125,23/10/1936,79,0,4,1
Snowtown,SA,5520,8,Acq,50,0,50,4/01/1963,52,1,4,0
Snowtown,SA,5520,7,Acq,40.55,0,40.55,24/10/1941,74,0,4,0
Port Broughton,SA,5522,9,Renewals,246.85,0,246.85,9/01/1938,77,1,4,1
Port Broughton,SA,5522,7,Renewals,211.6,0,211.6,na,,0,4,1
PORT BROUGHTON,SA,5522,7,Renewals,157,0,157,3/02/1960,55,1,4,1
Port Broughton,SA,5522,7,Renewals,134.8,0,134.8,na,,0,4,1
Port Broughton,SA,5522,7,Acq,113,0,113,na,,1,4,1
Port Broughton,SA,5522,8,Acq,96,0,96,na,,1,4,1
Port Broughton,SA,5522,7,Acq,65,0,65,25/06/1934,81,1,4,0
Port Broughton,SA,5522,9,Renewals,40,20,60,na,,1,4,0
PORT BROUGHTON,SA,5522,7,Renewals,40,0,40,18/11/1945,70,1,4,0
PORT BROUGHTON,SA,5522,7,Renewals,40,0,40,na,,0,4,0
CRYSTAL BROOK,SA,5523,7,Renewals,160,0,160,6/02/1940,75,1,4,1
Crystal Brook,SA,5523,8,Renewals,122,0,122,24/08/1947,68,1,4,1
CRYSTAL BROOK,SA,5523,9,Acq,97,10,107,6/07/1946,69,1,4,1
CRYSTAL BROOK,SA,5523,7,Acq,80,0,80,11/10/1936,79,1,4,1
Crystal Brook,SA,5523,7,Renewals,79.5,0,79.5,24/10/1972,43,1,4,1
Crystal Brook,SA,5523,7,Renewals,75,0,75,18/05/1952,63,1,4,0
CRYSTAL BROOK,SA,5523,7,Acq,0,30,30,11/04/1927,88,1,4,0
CRYSTAL BROOK,SA,5523,7,Acq,15,0,15,na,,0,4,0
Risdon Park,SA,5540,7,Acq,258.3,0,258.3,22/05/1963,52,0,4,1
Risdon Park,SA,5540,8,Renewals,214.75,0,214.75,1/02/1954,61,1,4,1
Port Pirie,SA,5540,8,Renewals,152,0,152,5/02/1937,78,0,4,1
Port Pirie,SA,5540,7,Acq,145.5,0,145.5,na,,1,4,1
PORT PIRIE,SA,5540,8,Renewals,122.5,0,122.5,16/12/1930,85,0,4,1
Port Pirie South,SA,5540,7,Renewals,90,20,110,4/12/1957,58,0,4,1
RISDON PARK SOUTH,SA,5540,7,Renewals,104.4,0,104.4,1/01/1949,66,1,4,1
RISDON PARK SOUTH,SA,5540,7,Acq,100.45,0,100.45,1/01/1938,77,1,4,1
PORT PIRIE,SA,5540,8,Renewals,64,36,100,na,,1,4,1
PORT PIRIE,SA,5540,8,Renewals,97.5,0,97.5,na,,1,4,1
PORT PIRIE SOUTH,SA,5540,1,Acq,95,0,95,1/01/1939,76,0,4,1
Port Pirie South,SA,5540,7,Renewals,92,0,92,1/01/1933,82,0,4,1
Port Pirie,SA,5540,7,Acq,86.65,0,86.65,na,,1,4,1
